#JD       Mag   Obs  Type
40159.7   4.1   RB   Vis.
40159.7   4.1   NBY   Vis.
40159.8   3.8   CKE   Vis.
40160.6   4.6   MAG   Vis.
40160.6   4   LGH   Vis.
40160.6   3.7   DVO   Vis.
40161.6   4   SSL   Vis.
40161.6   4.1   RB   Vis.
40161.6   4.1   FT   Vis.
40161.7   4.2   SWR   Vis.
40163.3   4.3   DK   Vis.
40163.5   4.7   VAM   Vis.
40163.6   4.5   HE   Vis.
40164.7   4.2   RB   Vis.
40167.4   5   DK   Vis.
40167.5   4.6   VAM   Vis.
40168.6   4.5   GRN   Vis.
40169.6   4.4   DOK   Vis.
40171.5   4.8   VAM   Vis.
40171.6   4.7   RB   Vis.
40171.7   4.8   HE   Vis.
40171.7   4.9   HAE   Vis.
40172.4   5.4   DK   Vis.
40173.6   4.7   AC   Vis.
40173.7   4.8   RB   Vis.
40173.8   4.5   SWR   Vis.
40174.3   5   BQ   Vis.
40174.9   4.9   HE   Vis.
40175.5   5.3   VAM   Vis.
40175.5   4.6   RB   Vis.
40176.4   5.4   DK   Vis.
40176.5   4.6   DOK   Vis.
40177.7   5   RB   Vis.
40178.4   5.1   LKS   Vis.
40178.6   4.9   BJ   Vis.
40178.7   4.7   COK   Vis.
40179.5   5.6   VAM   Vis.
40180.5   5   SHA   Vis.
40180.6   5.1   RB   Vis.
40180.6   5.2   BRJ   Vis.
40180.7   4.8   SWR   Vis.
40180.7   4.6   DOK   Vis.
40181.1   4.6   FRW   Vis.
40181.25   5.7   BQ   Vis.
40181.4   5.3   DK   Vis.
40181.5   5.1   RB   Vis.
40181.6   4.5   SZR   Vis.
40181.6   4.8   OV   Vis.
40181.7   5   KRJ   Vis.
40182.25   5.6   BQ   Vis.
40182.5   5.2   RB   Vis.
40182.6   4.9   MAG   Vis.
40182.6   5.1   HE   Vis.
40182.6   5   AD   Vis.
40183.5   5.8   VAM   Vis.
40183.6   4.8   DOK   Vis.
40183.6   5.2   BJ   Vis.
40184.5   5.2   RB   Vis.
40184.6   4.8   DVO   Vis.
40184.7   5.1   HE   Vis.
40185.5   5.4   KOJ   Vis.
40185.6   5.2   RB   Vis.
40185.6   5   NBY   Vis.
40185.6   5.1   DVO   Vis.
40186.3   5.5   DK   Vis.
40186.5   5.2   RB   Vis.
40186.7   4.8   SWR   Vis.
40186.7   5.2   DVO   Vis.
40187.5   6   VAM   Vis.
40188.4   5.3   LKS   Vis.
40188.6   5.4   PTN   Vis.
40189.3   5.1   DKF   Vis.
